endereco,preco,metragem,quartos,vaga
"QN 108 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",245000.0,46,2,1
"QN 501 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",240983.0,40,2,0
"QR 202 CONJUNTO 1, SAMAMBAIA NORTE, SAMAMBAIA",240000.0,27,1,1
QN 210,240000.0,56,2,1
"QN 406, SAMAMBAIA NORTE, SAMAMBAIA",240000.0,52,2,1
QR 410 CONJUNTO 15,240000.0,57,2,1
"QR 410 CONJUNTO 15, SAMAMBAIA NORTE, SAMAMBAIA",240000.0,56,3,1
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",239000.0,27,1,1
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",237000.0,60,2,1
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",236459.0,27,1,0
QR 405 CONJUNTO 28,235662.0,47,2,1
"QR 402 CONJUNTO 2, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,52,2,1
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",235000.0,50,2,1
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,50,2,1
"QN 408, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,52,2,0
"QN 312 CONJUNTO 7, SAMAMBAIA SUL, SAMAMBAIA",230000.0,42,1,1
"QR 403, SAMAMBAIA NORTE, SAMAMBAIA",230000.0,50,2,1
"QN 312, SAMAMBAIA SUL, SAMAMBAIA",230000.0,43,1,1
QN 321,230000.0,45,2,1
"QR 210 CONJUNTO 21, SAMAMBAIA NORTE, SAMAMBAIA",230000.0,49,2,1
"QR 321, SAMAMBAIA SUL, SAMAMBAIA",230000.0,44,2,1
"QR 412, SAMAMBAIA NORTE, SAMAMBAIA",230000.0,64,2,0
"QR 321, SAMAMBAIA SUL, SAMAMBAIA",230000.0,45,2,1
QN 402,230000.0,52,2,1
QR 406 CONJUNTO 9,230000.0,52,2,1
QR 503 CONJUNTO 9,229900.0,48,2,1
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",228540.0,57,2,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",220000.0,30,1,1
"QR 208 CONJUNTO 7, SAMAMBAIA SUL, SAMAMBAIA",220000.0,47,2,1
"QN 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",220000.0,33,1,1
QN 321,219900.0,48,2,1
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",219000.0,48,2,1
QN 321,219000.0,44,2,1
"QN 501 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",215881.0,40,1,0
QR 116 CONJUNTO 4,215000.0,33,1,1
"QN 312 CONJUNTO 7, SAMAMBAIA SUL, SAMAMBAIA",215000.0,27,1,1
"QN 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",215000.0,34,1,1
"QR 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",215000.0,33,1,1
"QN 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",215000.0,33,1,1
"QN 501 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",214900.0,42,2,0
"QN 501, SAMAMBAIA SUL, SAMAMBAIA",214900.0,41,2,0
QN 321,214000.0,47,2,1
QR 403 CONJUNTO 5,213000.0,51,2,1
"QR 122 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",212500.0,32,2,0
"QR 122, SAMAMBAIA SUL, SAMAMBAIA",210073.0,33,1,0
"QR 312 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",210000.0,29,1,1
"QN 104 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",210000.0,43,2,0
"QN 320 CONJUNTO 8, SAMAMBAIA SUL, SAMAMBAIA",210000.0,31,1,1
"QR 312 CONJUNTO 4, SAMAMBAIA SUL, SAMAMBAIA",210000.0,31,1,1
QR 408 CONJUNTO 15,210000.0,33,1,1
QN 407,210000.0,32,1,1
"QN 122 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",210000.0,30,1,0
"QR 122, SAMAMBAIA SUL, SAMAMBAIA",209000.0,32,1,0
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",198000.0,31,1,1
QR 122 CONJUNTO 1,197255.0,32,1,0
QR 408 CONJUNTO 15,195000.0,32,1,1
"QR 312 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",195000.0,31,1,0
"QR 303, SAMAMBAIA SUL, SAMAMBAIA",195000.0,48,2,0
QN 412,195000.0,43,1,0
QN 303 CONJUNTO 2,193000.0,27,1,0
QR 408 CONJUNTO 24,190000.0,30,1,0
"QN 312 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",190000.0,29,1,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",190000.0,30,1,1
"QN 320 CONJUNTO 4, SAMAMBAIA SUL, SAMAMBAIA",190000.0,32,1,1
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",190000.0,43,2,0
"QR 318 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",190000.0,31,1,1
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",190000.0,33,1,1
"QN 303 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",187000.0,47,2,0
"QR 110 CONJUNTO 4, SAMAMBAIA SUL, SAMAMBAIA",185000.0,30,1,0
"QR 501 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",185000.0,54,2,1
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",184999.0,32,1,1
QN 412,180000.0,35,1,0
"QN 104 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",180000.0,50,2,0
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",180000.0,30,1,0
"QN 312 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",180000.0,29,1,0
QN 412,180000.0,30,1,0
"QN 108 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",180000.0,45,2,0
"QN 312 CONJUNTO 7, SAMAMBAIA SUL, SAMAMBAIA",180000.0,27,1,0
QN 614,179999.0,30,1,0
"QN 104 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",179970.0,43,2,0
"QN 304 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",175000.0,45,1,0
"QN 104 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",175000.0,48,2,0
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",175000.0,31,1,1
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",172000.0,29,1,0
QN 408,170000.0,30,1,1
QR 406 CONJUNTO 9,170000.0,51,2,0
"QR 312 CONJUNTO 4, SAMAMBAIA SUL, SAMAMBAIA",170000.0,41,1,0
QN 412,170000.0,31,1,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",170000.0,30,1,0
"QR 106, SAMAMBAIA SUL, SAMAMBAIA",170000.0,64,3,1
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",170000.0,50,1,1
"QR 320, SAMAMBAIA SUL, SAMAMBAIA",170000.0,31,1,0
QN 401,170000.0,30,1,1
QN 401,169900.0,30,1,1
QN 401,167900.0,30,1,1
"QN 312 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",165000.0,31,1,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",165000.0,42,1,0
QN 412,165000.0,30,1,0
QR 312 CONJUNTO 4,160000.0,36,1,0
QN 401,160000.0,30,1,0
"QR 110 CONJUNTO 12, SAMAMBAIA SUL, SAMAMBAIA",160000.0,90,2,0
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",159000.0,45,2,0
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",159000.0,43,2,0
QR 116 CONJUNTO 4,159000.0,28,1,0
QN 401,155000.0,33,1,1
"QR 614, SAMAMBAIA NORTE, SAMAMBAIA",155000.0,31,1,0
"QR 425, SAMAMBAIA NORTE, SAMAMBAIA",150000.0,33,2,0
"QR 425, SAMAMBAIA NORTE, SAMAMBAIA",145000.0,33,1,0
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",145000.0,33,1,0
"QN 104 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",145000.0,45,2,0
QN 614,135000.0,29,1,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",130000.0,30,1,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",126000.0,22,1,1
QN 403,118000.0,49,2,1
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",115000.0,25,1,1
"QR 110 CONJUNTO 18, SAMAMBAIA SUL, SAMAMBAIA",115000.0,42,2,1
"QN 512 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",110000.0,50,2,1
"QR 122 CONJUNTO 6, SAMAMBAIA SUL, SAMAMBAIA",95000.0,32,1,0
